farms, 1477, 9.859042E-4
may, 1465, 9.778943E-4
yet, 1453, 9.698842E-4
set, 1452, 9.692167E-4
All, 1434, 9.572016E-4
breeding, 1432, 9.558666E-4
machineAlexandre, 1427, 9.525291E-4
waypoint, 1425, 9.511941E-4
Good, 1421, 9.4852404E-4
books, 1416, 9.4518653E-4
you're, 1413, 9.43184E-4
sand, 1410, 9.411815E-4
grit, 1409, 9.40514E-4
fo, 1407, 9.39179E-4
pointAmelioratorj:, 1405, 9.37844E-4
walls, 1402, 9.3584147E-4
can't, 1396, 9.3183643E-4
resources, 1388, 9.264964E-4
radius, 1387, 9.258289E-4
gotta, 1380, 9.211564E-4
pipes, 1373, 9.164838E-4
FMA, 1371, 9.151488E-4
seen, 1365, 9.111438E-4
dirt, 1359, 9.0713875E-4
hook, 1357, 9.0580375E-4
reach, 1353, 9.031337E-4
happen, 1334, 8.9045113E-4
conveytor, 1332, 8.8911614E-4
processing, 1329, 8.871136E-4
drop, 1317, 8.7910355E-4
joinedrobot3humans0, 1316, 8.784361E-4
farming, 1314, 8.7710103E-4
slow, 1313, 8.7643357E-4
thatAlexandre, 1311, 8.750985E-4
Very, 1310, 8.7443105E-4
extend, 1310, 8.7443105E-4
send, 1304, 8.70426E-4
sorted, 1298, 8.66421E-4
instead, 1291, 8.617485E-4
additional, 1286, 8.584109E-4
Unless, 1280, 8.544059E-4
thereAmelioratorj:, 1279, 8.537384E-4
fill, 1277, 8.524034E-4
yeahAmelioratorj:, 1277, 8.524034E-4
Kool, 1276, 8.517359E-4
Not, 1273, 8.4973336E-4
log, 1271, 8.4839837E-4
It's, 1270, 8.4773084E-4
store, 1270, 8.4773084E-4
stack, 1269, 8.470633E-4
i'll, 1266, 8.4506086E-4
rid, 1258, 8.397208E-4
items, 1254, 8.370508E-4
bad, 1253, 8.3638326E-4
unless, 1249, 8.337133E-4
I've, 1249, 8.337133E-4
compactor, 1246, 8.3171076E-4
extract, 1246, 8.3171076E-4
Idk, 1244, 8.303757E-4
80%, 1243, 8.2970824E-4
hard, 1237, 8.257032E-4
trading, 1229, 8.203632E-4
T-TAlexandre, 1228, 8.1969565E-4
Maybe, 1218, 8.130206E-4
worry, 1214, 8.103506E-4
see, 1212, 8.090156E-4
HAHAAmelioratorj:, 1210, 8.076806E-4
backwards, 1209, 8.070131E-4
fishing, 1209, 8.070131E-4
Nevermind, 1201, 8.0167304E-4
empty, 1201, 8.0167304E-4
try, 1200, 8.010055E-4
wonder, 1188, 7.929955E-4
part, 1180, 7.876554E-4
**Road, 1179, 7.8698795E-4
controler, 1179, 7.8698795E-4
Conveyor, 1179, 7.8698795E-4
_Place, 1179, 7.8698795E-4
nowhere**, 1179, 7.8698795E-4
farm, 1174, 7.8365044E-4
never, 1172, 7.823154E-4
ill, 1172, 7.823154E-4
pick, 1171, 7.816479E-4
worries, 1167, 7.789779E-4
last, 1166, 7.7831035E-4
(And, 1161, 7.7497284E-4
blockAlexandre, 1159, 7.7363785E-4
5, 1157, 7.7230285E-4
Reboot, 1157, 7.7230285E-4
***Automatic, 1157, 7.7230285E-4
left<>, 1155, 7.709678E-4
IN, 1154, 7.7030034E-4
***AUTOMATIC, 1154, 7.7030034E-4
SERVER, 1154, 7.7030034E-4
REBOOT, 1154, 7.7030034E-4
MINUTE***Server, 1152, 7.689653E-4
Yup, 1151, 7.682978E-4
sorting, 1147, 7.656278E-4
A, 1144, 7.6362526E-4
glass, 1140, 7.6095527E-4
thoughAmelioratorj:, 1128, 7.529452E-4
two, 1126, 7.516102E-4
better, 1122, 7.4894016E-4
machine, 1122, 7.4894016E-4
:OAmelioratorj:, 1121, 7.4827264E-4
little, 1113, 7.429326E-4
thererobot3humans0:, 1105, 7.375926E-4
bottle, 1104, 7.369251E-4
water, 1103, 7.362576E-4
In, 1097, 7.3225255E-4
working, 1094, 7.3025003E-4
stacks, 1085, 7.242425E-4
ohAlexandre, 1082, 7.2223996E-4
big, 1081, 7.215725E-4
remove, 1066, 7.115599E-4
base, 1060, 7.0755486E-4
literally, 1059, 7.068874E-4
able, 1050, 7.0087984E-4
gone, 1046, 6.982098E-4
2, 1044, 6.968748E-4
hold, 1039, 6.935373E-4
max, 1039, 6.935373E-4
Alex, 1023, 6.8285724E-4
:OAlexandre, 1020, 6.808547E-4
LOLAlexandre, 1012, 6.755147E-4
K, 1011, 6.7484716E-4
batch, 1005, 6.708421E-4
kicked, 1004, 6.701746E-4
full, 1000, 6.675046E-4
shit, 998, 6.661696E-4
iron, 992, 6.621646E-4
fr, 991, 6.6149706E-4
gives, 990, 6.6082954E-4
fast, 980, 6.541545E-4
getting, 979, 6.53487E-4
started, 969, 6.4681197E-4
let, 962, 6.421394E-4
lol, 956, 6.381344E-4
joinedAmelioratorj, 949, 6.3346187E-4
drawers, 938, 6.261193E-4
used, 934, 6.234493E-4
makes, 926, 6.1810925E-4
direction, 924, 6.1677425E-4
silk, 908, 6.060942E-4
touch, 908, 6.060942E-4
potions, 907, 6.0542667E-4
anyone, 904, 6.0342415E-4
:OWonderAnchor:, 903, 6.027567E-4
mine, 900, 6.0075417E-4
elytra, 884, 5.9007405E-4
dead, 882, 5.8873906E-4
lefti'll, 881, 5.8807153E-4
theres, 871, 5.813965E-4
advanced, 858, 5.72719E-4
leather, 856, 5.713839E-4
beehive_Alexandre, 856, 5.713839E-4
constantine, 855, 5.7071645E-4
flowering, 850, 5.6737894E-4
Feeding, 850, 5.6737894E-4
ive, 844, 5.633739E-4
enough, 842, 5.6203885E-4
leftremp3, 840, 5.6070386E-4
leftMortisNatus, 836, 5.580339E-4
mining, 831, 5.546963E-4
easily, 828, 5.526938E-4
joinedi, 828, 5.526938E-4
ton, 828, 5.526938E-4
gunna, 827, 5.520263E-4
birchAlexandre, 827, 5.520263E-4
leftcutiearden, 826, 5.513588E-4
say, 825, 5.5069133E-4
whenever, 823, 5.493563E-4
gather, 823, 5.493563E-4
tradehadelmaede, 822, 5.486888E-4
joinedSure, 821, 5.480213E-4
Thank, 820, 5.4735376E-4
needingfor, 820, 5.4735376E-4
twoi, 819, 5.466863E-4
tooi'm, 818, 5.4601877E-4
Won't, 817, 5.4535124E-4
player., 817, 5.4535124E-4
ingame, 817, 5.4535124E-4
:>Alright, 817, 5.4535124E-4
broken, 817, 5.4535124E-4
far, 816, 5.446838E-4
kicking, 815, 5.4401625E-4
later, 815, 5.4401625E-4
leftkk, 815, 5.4401625E-4
sometime, 814, 5.433487E-4
offMaybe, 814, 5.433487E-4
tonight, 814, 5.433487E-4
good., 813, 5.4268126E-4
tomorrowtomorrow, 813, 5.4268126E-4
message, 812, 5.4201373E-4
lateralright, 812, 5.4201373E-4
readyok, 811, 5.4134626E-4
fortress, 810, 5.4067874E-4
fire, 810, 5.4067874E-4
resistance, 810, 5.4067874E-4
reasonably, 810, 5.4067874E-4
future, 810, 5.4067874E-4
priced, 810, 5.4067874E-4
:3makes, 809, 5.400112E-4
relatively, 809, 5.400112E-4
safecutiearden, 808, 5.3934375E-4
knew, 805, 5.373412E-4
leftanyone, 804, 5.366737E-4
constantly, 804, 5.366737E-4
mecutiearden, 803, 5.360062E-4
build, 800, 5.3400366E-4
leftman, 800, 5.3400366E-4
cruel, 799, 5.333362E-4
farmswhy, 799, 5.333362E-4
godhadelmaede, 798, 5.3266867E-4
leftServer, 796, 5.313337E-4
maxing, 794, 5.299987E-4
Something, 794, 5.299987E-4
memory.What, 793, 5.2933116E-4
😛vapidincarnate, 792, 5.2866363E-4
waiting, 791, 5.2799616E-4
Give, 789, 5.266611E-4
minute, 789, 5.266611E-4
infinite, 788, 5.2599364E-4
twoTrying, 788, 5.2599364E-4
might've, 787, 5.253261E-4
stick, 787, 5.253261E-4
water....Alexandre, 787, 5.253261E-4
caseim, 786, 5.246586E-4
river, 786, 5.246586E-4
barely, 785, 5.239911E-4
team, 785, 5.239911E-4
bucketsvapidincarnate:, 785, 5.239911E-4
